dni,nombre,apellido,edad,ocupacion,equipo_nombre,equipo_pais,start_year,peso,altura,enfermedades,categoria,grupo_sanguineo,posesion_porcentaje,goles,pases,tipo_lesion,fecha_inicio,fecha_fin,descripcion,retorno_estimado
33587252K,Maria,Jiménez,22,Portera,Valencia,Italia,2017,61.0,1.69,asma,B,AB+,66.3,0,132,Desgarro muscular,2024-01-02,2024-01-11,desgarro muscular leve,Recovered
53397936Z,Laura,Díaz,27,Defensora,Tottenham,UK,2020,59.9,1.63,asma,B,AB-,67.2,11,104,Rotura de ligamentos,2023-12-05,2024-01-30,rotura de ligamentos leve,Doubtful
65799733T,Carmen,Suárez,20,Portera,Liverpool,Italia,2021,60.2,1.76,ninguna,A,AB-,71.1,9,143,Lesión de hombro,2024-02-01,2024-02-07,lesión de hombro leve,Recovering
78200992S,Elena,Ortega,29,Portera,Real Sociedad,Alemania,2018,58.7,1.73,ninguna,B,O-,69.3,18,138,Rotura de ligamentos,2024-06-02,2024-06-09,rotura de ligamentos leve,Recovered
82789759J,Natalia,González,28,Delantera,Sevilla,España,2023,64.5,1.7,ninguna,A,AB-,64.5,4,192,Tendinitis,2024-07-15,2024-07-26,tendinitis leve,Doubtful
36568002R,Laura,Navarro,22,Defensora,Tottenham,Italia,2022,60.2,1.74,asma,C,A+,74.6,8,183,Tendinitis,2023-11-07,2023-12-20,tendinitis leve,Doubtful
95605459S,Ana,Moreno,20,Delantera,Sevilla,UK,2023,57.3,1.7,ninguna,C,B-,70.4,0,141,Desgarro muscular,2024-04-23,2024-06-03,desgarro muscular leve,Doubtful
29257028Z,Blanca,González,26,Defensora,Borussia Dortmund,Francia,2017,56.6,1.78,asma,A,B-,60.5,20,137,Desgarro muscular,2023-12-22,2024-01-10,desgarro muscular leve,Recovered
20963583W,Elena,Díaz,21,Defensora,AC Milan,España,2019,60.1,1.63,ninguna,C,O+,69.1,4,151,Rotura de ligamentos,2024-09-20,2024-10-31,rotura de ligamentos leve,Recovering
45581604T,Raquel,Cruz,28,Defensora,Liverpool,Alemania,2022,59.6,1.69,ninguna,C,O-,61.3,6,137,Fractura de nariz,2023-12-19,2024-02-03,fractura de nariz leve,Recovered
47547349K,Sara,Jiménez,27,Delantera,Real Sociedad,Italia,2022,64.2,1.73,ninguna,B,AB+,70.7,4,151,Rotura de ligamentos,2024-03-07,2024-03-30,rotura de ligamentos leve,Doubtful
14263455Y,Elena,Moreno,30,Portera,Manchester United,Francia,2022,64.5,1.71,asma,A,A+,73.5,20,148,Desgarro muscular,2024-03-12,2024-04-09,desgarro muscular leve,Doubtful
97808295V,Carmen,Vega,24,Defensora,Leicester City,España,2018,62.3,1.69,asma,A,O+,67.6,8,180,Tendinitis,2024-01-01,2024-01-17,tendinitis leve,Recovering
52047361C,Sofia,Sanz,22,Delantera,Inter de Milán,Italia,2023,64.9,1.69,ninguna,B,A-,68.7,17,105,Contusión,2023-11-13,2023-12-10,contusión leve,Recovered
22934409R,Ana,López,21,Delantera,Leicester City,Alemania,2020,64.5,1.7,asma,A,O+,73.2,8,119,Lesión de hombro,2023-12-01,2024-01-13,lesión de hombro leve,Recovered
32720168J,Sara,López,26,Defensora,PSG,Italia,2022,62.8,1.73,ninguna,B,AB-,62.8,13,145,Rotura de ligamentos,2024-05-23,2024-07-06,rotura de ligamentos leve,Recovered
90708649O,Cristina,González,20,Centrocampista,Inter de Milán,Alemania,2023,60.0,1.71,asma,C,O-,65.7,17,177,Desgarro muscular,2024-09-27,2024-10-07,desgarro muscular leve,Recovering
43647758K,Adriana,Sanz,21,Portera,Valencia,Alemania,2018,61.1,1.75,ninguna,B,AB+,60.2,7,174,Desgarro muscular,2024-03-03,2024-04-29,desgarro muscular leve,Recovered
46679686W,Isabel,González,22,Defensora,Liverpool,UK,2017,58.0,1.71,ninguna,C,B-,67.1,18,178,Lesión de hombro,2024-01-12,2024-02-05,lesión de hombro leve,Recovered
22335637L,Natalia,Sanz,22,Defensora,Manchester City,Italia,2017,63.5,1.75,asma,B,B+,63.8,8,127,Rotura de ligamentos,2024-04-20,2024-06-07,rotura de ligamentos leve,Recovered
78355957K,Cristina,Ruiz,30,Centrocampista,AC Milan,Francia,2019,64.9,1.71,asma,A,A-,64.7,11,113,Fractura de nariz,2024-08-01,2024-08-14,fractura de nariz leve,Doubtful
73769402W,Blanca,Ortega,26,Centrocampista,Atlético Madrid,España,2020,64.1,1.69,asma,A,A-,64.5,8,131,Lesión de hombro,2024-09-09,2024-09-23,lesión de hombro leve,Recovered
56720810H,Natalia,Moreno,24,Defensora,Arsenal,UK,2022,59.0,1.6,ninguna,C,AB+,73.1,9,169,Contractura,2024-05-28,2024-07-03,contractura leve,Recovering
43182732N,Isabel,Díaz,28,Portera,Barcelona,Italia,2021,57.2,1.64,asma,B,O-,60.9,6,197,Desgarro muscular,2024-03-08,2024-03-31,desgarro muscular leve,Doubtful
69738428N,Lucía,López,22,Delantera,Sevilla,España,2018,55.1,1.65,asma,A,AB+,64.8,19,195,Tendinitis,2024-03-19,2024-05-11,tendinitis leve,Recovering
99989525W,Isabel,García,21,Defensora,Liverpool,Francia,2021,58.6,1.78,asma,C,O+,71.8,20,188,Contusión,2023-11-29,2023-12-19,contusión leve,Recovered
99013938L,Lucía,Suárez,30,Delantera,Valencia,UK,2022,62.5,1.66,ninguna,C,O-,75.0,17,104,Tendinitis,2024-03-08,2024-03-31,tendinitis leve,Recovered
70487832E,Adriana,Serrano,20,Portera,Leicester City,España,2021,58.8,1.78,asma,B,AB-,64.6,7,141,Lesión de hombro,2024-03-14,2024-05-11,lesión de hombro leve,Recovered
